episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9970.849231123924, 2, 24.562201781999647, 1002, 25430,                                             25430, 21.838144302368164, 308.933837890625
2, -3646.7109081745148, 3, 8.888909815999796, 337, 25767,                                             25767, 21.918949127197266, 321.13226318359375
3, -4235.352793931961, 2, 9.921102912999231, 381, 26148,                                             26148, 22.747873306274414, 325.24395751953125
4, -3042.4081181287766, 3, 8.939098773000296, 344, 26492,                                             26492, 22.826906204223633, 332.01025390625
5, -4219.260655641556, 2, 8.136661622000247, 311, 26803,                                             26803, 22.797456741333008, 333.778076171875
6, -3934.195041656494, 2, 8.136512925999341, 317, 27120,                                             27120, 22.756786346435547, 336.6057434082031
7, -3264.4532058238983, 2, 8.119783172999632, 313, 27433,                                             27433, 23.332359313964844, 340.29705810546875
8, -4058.5900106430054, 3, 9.134370225000566, 351, 27784,                                             27784, 23.991411209106445, 343.0617980957031
9, 2353.205938577652, 1, 4.307357596999282, 159, 27943,                                             27943, 23.476255416870117, 344.27972412109375
10, -3580.444772720337, 2, 8.122303977999763, 308, 28251,                                             28251, 23.786813735961914, 347.9382629394531
11, -6330.647359132767, 2, 19.824885547999656, 766, 29017,                                             29017, 24.15656280517578, 354.4828796386719
12, -3832.733398914337, 2, 10.928368326000054, 413, 29430,                                             29430, 24.259931564331055, 361.8183898925781
13, -3595.816546678543, 2, 7.129516463999607, 273, 29703,                                             29703, 23.388282775878906, 365.30352783203125
14, -3438.535444498062, 2, 7.731752040999709, 299, 30002,                                             30002, 25.075584411621094, 370.5989074707031
15, -4475.468039512634, 2, 10.136277735000476, 396, 30398,                                             30398, 25.22371482849121, 375.56591796875
16, -3435.1849629879, 2, 7.520099624000068, 286, 30684,                                             30684, 26.30673599243164, 383.49786376953125
17, 2024.3732932806015, 1, 8.739256806000412, 334, 31018,                                             31018, 26.45757293701172, 381.1636047363281
18, -2964.5847123861313, 2, 5.313915212000211, 198, 31216,                                             31216, 27.012224197387695, 390.4349365234375
19, -3409.684895992279, 2, 5.92831358300009, 225, 31441,                                             31441, 25.68724250793457, 392.9500427246094
